                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.64761,                0.96189,                0.43483,                0.87915,                0.94996,                0.98889,                 0.9789,                0.82837,                0.95254,                0.98041,                0.97687,                0.74437,                0.56258,                0.83665,                0.37735,                0.85763,              0.0087625,              0.0087625,              0.0087625
                     78,                0.63942,                0.95234,                0.44251,                0.87905,                0.94841,                0.97691,                0.97558,                0.83247,                0.94658,                0.97512,                0.97354,                0.74447,                0.55846,                0.82406,                0.38058,                0.85555,               0.008746,               0.008746,               0.008746
                     79,                0.64135,                0.95235,                0.43026,                0.87403,                0.94952,                0.97912,                0.97747,                0.83333,                0.94943,                0.97471,                0.97308,                0.73836,                0.56452,                0.82284,                0.37611,                0.86015,              0.0087295,              0.0087295,              0.0087295
                     80,                0.64016,                0.96068,                0.43867,                0.88497,                0.94215,                0.98534,                0.98032,                0.82957,                0.93786,                0.98087,                0.97653,                0.74527,                0.57387,                 0.8431,                0.37684,                0.86165,               0.008713,               0.008713,               0.008713
                     81,                0.63729,                0.94617,                0.43176,                0.87833,                0.95244,                0.97527,                0.97449,                0.83181,                0.95137,                0.97138,                0.97226,                0.74017,                0.55979,                0.83166,                0.37421,                0.85561,              0.0086965,              0.0086965,              0.0086965
                     82,                0.63934,                 0.9449,                0.43682,                 0.8796,                0.95435,                0.98074,                0.97955,                  0.834,                0.95145,                 0.9775,                0.97744,                0.73534,                0.55808,                0.82391,                 0.3741,                0.85854,                0.00868,                0.00868,                0.00868
                     83,                0.64101,                0.94994,                 0.4365,                 0.8788,                0.94857,                0.98114,                0.97848,                0.83101,                0.94857,                0.98114,                0.97791,                0.74253,                0.56308,                0.82625,                0.37262,                0.85929,              0.0086635,              0.0086635,              0.0086635
                     84,                0.63631,                0.93064,                0.43003,                0.87894,                0.95326,                0.98606,                0.97806,                0.83871,                0.95144,                 0.9838,                0.97597,                0.74773,                0.55636,                0.82088,                0.36907,                0.85829,               0.008647,               0.008647,               0.008647
                     85,                0.63214,                0.92819,                0.42377,                0.87938,                0.94891,                0.98161,                0.97227,                0.82771,                 0.9441,                0.97691,                0.96465,                0.73215,                0.55713,                0.82339,                0.37178,                0.85686,              0.0086305,              0.0086305,              0.0086305
                     86,                 0.6325,                 0.9391,                0.42351,                0.87335,                0.95896,                0.98208,                 0.9774,                0.83658,                0.95594,                0.97962,                0.97492,                0.74369,                0.55192,                0.82592,                0.36714,                0.85345,               0.008614,               0.008614,               0.008614
                     87,                0.64235,                0.96175,                0.43396,                0.88268,                0.96149,                 0.9859,                0.97879,                0.83457,                0.96055,                0.98495,                0.97791,                0.74579,                0.56236,                0.81651,                0.36081,                0.85493,              0.0085975,              0.0085975,              0.0085975
                     88,                0.63342,                0.94984,                0.42663,                 0.8784,                0.95028,                 0.9885,                0.98108,                0.83514,                 0.9481,                0.98555,                0.97793,                0.73821,                0.56054,                0.82369,                0.35867,                0.85738,               0.008581,               0.008581,               0.008581
                     89,                0.62695,                0.93291,                0.41879,                0.87385,                0.94863,                0.99169,                0.97901,                0.83682,                0.94783,                0.98737,                0.97797,                0.74164,                0.55623,                0.81933,                0.36672,                0.85603,              0.0085645,              0.0085645,              0.0085645
                     90,                0.62799,                0.94459,                0.42379,                0.87615,                0.94935,                0.98985,                0.97833,                0.83854,                0.94935,                0.98985,                0.97867,                0.74604,                0.55122,                 0.8231,                0.36194,                0.85342,               0.008548,               0.008548,               0.008548
                     91,                0.62338,                0.92282,                0.42065,                 0.8754,                0.94328,                0.98858,                0.97778,                0.83468,                0.94217,                0.98308,                0.97377,                0.73695,                0.55311,                0.81613,                0.36487,                0.85545,              0.0085315,              0.0085315,              0.0085315
                     92,                0.63047,                0.95448,                0.42286,                0.87824,                0.94159,                0.98361,                0.97766,                0.83765,                0.93988,                0.98059,                0.97543,                0.74085,                0.55515,                0.82055,                0.36982,                0.85669,               0.008515,               0.008515,               0.008515
                     93,                0.62745,                0.93587,                0.42496,                0.87849,                 0.9516,                 0.9759,                0.97873,                0.83179,                0.94861,                0.97313,                0.97515,                0.73525,                0.55957,                 0.8389,                0.36536,                0.85835,              0.0084985,              0.0084985,              0.0084985
